order_id,customer_id,product_id,quantity,price,order_date,shipping_status
1,33423,853,2,152.32,2024-05-21,Cancelled
2,21074,229,4,1731.28,2023-05-26,Delivered
3,8948,176,3,23.04,2023-12-17,Shipped
4,22105,495,2,548.34,2022-10-13,Delivered
5,40751,960,1,440.23,2022-07-24,Delivered
6,28797,16,1,135.51,2023-02-21,Cancelled
7,11447,944,3,972.6,2023-10-14,Cancelled
8,13251,640,1,252.95,2023-10-30,Cancelled
9,32117,686,1,15.73,2024-07-09,Pending
10,24020,815,5,1618.5,2023-03-17,Shipped
11,47968,654,4,1982.4,2023-08-22,Processing
12,41177,914,3,1159.44,2022-06-10,Processing
13,46973,990,5,678.6,2022-10-02,Delivered
14,8693,255,4,784.12,2023-11-19,Pending
15,7339,98,5,1600.95,2024-02-25,Delivered
16,29119,954,3,327.57,2022-11-11,Processing
17,46268,305,4,700.64,2023-03-24,Processing
18,46838,623,3,820.11,2023-10-30,Processing
19,43119,873,5,1226.7,2023-07-26,Processing
20,20314,97,2,936.6,2024-03-14,Cancelled
21,6430,545,3,534.36,2023-02-17,Pending
22,20750,188,4,1918.4,2024-05-14,Cancelled
23,41058,595,2,197.6,2024-01-23,Shipped
24,3742,355,3,594.54,2024-05-01,Delivered
25,25767,685,4,1531.32,2022-07-11,Delivered
26,31576,108,4,1485.56,2024-05-04,Processing
27,17752,423,2,677.48,2023-06-23,Processing
28,38287,336,5,1100.45,2023-08-27,Shipped
29,25775,270,2,152.88,2024-06-15,Pending
30,17177,383,4,123.8,2022-09-20,Shipped
31,49900,236,2,823.64,2024-05-12,Pending
32,47904,959,5,996.9,2023-06-14,Pending
33,9333,73,3,722.1,2023-05-03,Cancelled
34,35113,96,5,1316.25,2023-07-31,Processing
35,8426,696,4,1255.0,2024-06-19,Pending
36,43709,214,2,506.06,2024-02-19,Delivered
37,42843,34,2,594.78,2024-08-20,Processing
38,17925,857,4,758.44,2022-06-02,Shipped
39,7943,919,3,347.19,2023-01-31,Cancelled
40,35272,510,2,254.9,2022-08-13,Processing
41,43739,702,4,1947.68,2023-12-16,Pending
42,18058,604,1,189.33,2022-08-21,Pending
43,14574,273,2,796.48,2023-10-18,Delivered
44,27377,367,4,463.6,2023-03-19,Delivered
45,34128,652,5,1411.8,2023-10-24,Processing
46,13994,300,2,312.96,2023-11-05,Pending
47,4662,715,4,1600.08,2023-06-15,Delivered
48,9846,398,2,925.96,2024-04-10,Shipped
49,17948,227,3,1499.88,2023-02-11,Pending
50,17336,873,1,279.68,2023-12-19,Shipped
51,32188,340,2,82.74,2024-01-07,Cancelled
52,33869,501,4,1976.84,2023-11-05,Pending
53,12866,282,1,210.19,2023-06-07,Processing
54,39530,759,1,207.38,2022-09-29,Processing
55,18886,524,1,253.31,2023-06-13,Cancelled
56,36263,83,2,115.08,2023-06-28,Shipped
57,13583,313,5,611.9,2022-07-18,Shipped
58,39864,251,1,203.7,2024-03-09,Cancelled
59,18113,447,4,1593.56,2024-07-26,Delivered
60,43074,947,4,753.56,2023-08-26,Processing
61,5860,291,2,34.88,2022-09-11,Delivered
62,3144,363,2,101.26,2023-09-06,Shipped
63,37018,175,4,988.44,2023-01-02,Delivered
64,11532,498,5,1543.0,2024-04-29,Delivered
65,7819,776,1,194.0,2022-06-06,Pending
66,36033,672,5,2124.85,2024-03-31,Shipped
67,18681,913,5,1902.45,2024-02-04,Cancelled
68,2475,685,2,914.58,2022-10-05,Delivered
69,48414,873,4,1514.12,2023-12-07,Cancelled
70,2032,14,2,247.56,2024-09-02,Pending
71,20743,392,3,729.36,2023-12-01,Cancelled
72,42411,272,4,1049.96,2022-06-19,Cancelled
73,44210,427,5,1545.5,2024-06-13,Cancelled
74,38729,531,2,138.42,2023-03-09,Delivered
75,5887,867,5,615.15,2023-04-21,Delivered
76,18328,129,4,1055.64,2023-07-12,Pending
77,12961,474,1,314.98,2023-05-19,Processing
78,30704,969,3,70.23,2023-03-31,Cancelled
79,27546,511,4,576.68,2022-06-13,Shipped
80,16922,270,4,1659.92,2022-06-10,Delivered
81,9411,381,1,19.58,2024-01-17,Delivered
82,15375,113,5,685.75,2023-05-13,Pending
83,12301,652,1,91.72,2022-09-10,Processing
84,12914,508,4,827.24,2023-01-19,Pending
85,32024,703,3,759.57,2024-05-12,Shipped
86,40401,972,3,586.35,2024-01-18,Pending
87,26453,836,3,1121.25,2024-07-11,Pending
88,14942,25,1,284.52,2023-01-23,Cancelled
89,40529,459,2,883.18,2023-03-15,Pending
90,45472,55,4,641.52,2023-12-13,Processing
91,21303,246,3,358.77,2024-03-25,Shipped
92,9631,305,3,840.03,2024-07-07,Shipped
93,9040,17,1,64.32,2023-06-03,Cancelled
94,28838,732,5,231.95,2022-08-23,Processing
95,19015,22,5,2056.85,2024-04-20,Pending
96,13657,47,4,1239.8,2024-07-20,Cancelled
97,24504,517,5,2123.65,2023-11-04,Delivered
98,25968,858,2,851.0,2023-11-20,Cancelled
99,49584,202,2,241.38,2023-06-01,Processing
100,26972,457,4,920.72,2023-07-18,Cancelled
101,29141,203,4,508.4,2022-09-07,Shipped
102,33540,521,2,183.08,2023-09-28,Cancelled
103,13140,583,3,1314.81,2022-12-30,Processing
104,14177,520,3,1200.78,2022-10-01,Processing
105,39904,589,5,1087.25,2023-03-27,Delivered
106,38855,816,4,1640.08,2023-05-19,Delivered
107,11632,896,3,1475.22,2022-11-22,Delivered
108,33116,323,4,1607.12,2024-03-15,Delivered
109,47401,472,1,418.79,2024-02-12,Pending
110,39971,320,4,1411.4,2023-02-27,Processing
111,47041,707,5,1498.2,2023-08-24,Pending
112,7369,130,5,653.55,2023-01-14,Pending
113,18289,836,4,1640.04,2023-12-27,Delivered
114,10259,482,1,468.92,2023-05-28,Pending
115,16429,519,4,1395.72,2024-03-08,Pending
116,30006,958,4,1414.44,2024-07-11,Delivered
117,6704,375,1,167.41,2022-06-20,Delivered
118,20734,814,3,1200.06,2024-07-04,Processing
119,36320,155,4,1250.36,2022-10-29,Processing
120,44647,885,1,470.95,2023-10-16,Cancelled
121,9965,62,3,40.5,2024-07-08,Processing
