payment_id,order_id,payment_method,payment_date,amount
1,1,Mobile Money,2024-03-13,1478.91
2,2,Bank Transfer,2023-10-26,874.98
3,3,Mobile Money,2024-07-03,1283.54
4,4,Credit Card,2024-09-09,1254.86
5,5,Bank Transfer,2024-04-27,181.64
6,6,Bank Transfer,2023-02-01,491.04
7,7,Mobile Money,2023-09-26,2027.44
8,8,Mobile Money,2024-03-04,260.95
9,9,Mobile Money,2023-02-22,553.75
10,10,Mobile Money,2022-11-24,1409.95
11,11,PayPal,2022-09-21,1059.55
12,12,Mobile Money,2023-05-24,143.19
13,13,Bank Transfer,2023-02-06,708.37
14,14,Bank Transfer,2023-07-24,200.4
15,15,Bank Transfer,2022-12-04,472.94
16,16,Credit Card,2024-02-10,1677.0
17,17,Mobile Money,2023-06-10,1270.99
18,18,Debit Card,2023-09-10,276.06
19,19,PayPal,2024-06-16,945.48
20,20,Bank Transfer,2024-01-08,220.9
21,21,Mobile Money,2023-03-02,119.81
22,22,PayPal,2024-07-25,298.0
23,23,Mobile Money,2022-07-19,536.64
24,24,Debit Card,2024-04-22,346.97
25,25,Mobile Money,2024-02-08,719.15
26,26,PayPal,2023-09-01,269.99
27,27,Mobile Money,2022-11-07,336.24
28,28,PayPal,2023-11-18,7.37
29,29,Bank Transfer,2022-11-01,591.38
30,30,PayPal,2024-07-07,663.05
31,31,PayPal,2022-12-16,313.45
32,32,PayPal,2022-11-27,264.48
33,33,Bank Transfer,2023-12-19,605.95
34,34,Mobile Money,2024-03-23,1632.85
35,35,Mobile Money,2024-01-17,1519.37
36,36,PayPal,2022-06-16,412.24
37,37,PayPal,2022-10-21,530.65
38,38,Credit Card,2023-11-07,2602.13
39,39,Mobile Money,2023-03-12,290.86
40,40,Credit Card,2023-01-24,1283.36
41,41,Bank Transfer,2023-05-02,10.32
42,42,Debit Card,2024-06-27,674.51
43,43,Debit Card,2023-12-06,176.98
44,44,Mobile Money,2023-06-07,851.61
45,45,Credit Card,2022-12-27,977.84
46,46,Debit Card,2023-12-04,2022.05
47,47,Debit Card,2022-07-21,888.16
48,48,PayPal,2022-11-02,1208.22
49,49,Mobile Money,2023-07-04,559.91
50,50,Mobile Money,2023-12-13,1384.12
51,51,Credit Card,2023-09-18,853.99
52,52,PayPal,2023-11-22,1171.02
53,53,Mobile Money,2022-09-23,136.08
54,54,Bank Transfer,2023-09-08,346.61
55,55,Mobile Money,2023-10-21,846.06
56,56,Bank Transfer,2023-03-12,1727.15
57,57,Bank Transfer,2022-10-17,1638.84
58,58,Bank Transfer,2023-06-26,1416.96
59,59,Mobile Money,2022-11-23,127.68
60,60,Bank Transfer,2022-06-27,97.38
61,61,Credit Card,2023-11-22,2036.12
62,62,Mobile Money,2023-01-14,414.98
63,63,Credit Card,2023-11-19,54.71
64,64,Credit Card,2024-01-18,944.17
65,65,Credit Card,2023-09-13,1114.04
66,66,Bank Transfer,2022-07-26,375.45
67,67,Bank Transfer,2023-03-18,520.9
68,68,PayPal,2022-06-07,207.53
69,69,Credit Card,2023-12-15,933.3
70,70,Bank Transfer,2022-06-27,406.01
71,71,Credit Card,2023-11-21,110.74
72,72,Debit Card,2022-10-16,508.82
73,73,PayPal,2024-03-06,692.69
74,74,Mobile Money,2023-08-25,663.82
75,75,Credit Card,2023-01-05,736.31
76,76,Bank Transfer,2023-04-04,960.62
77,77,Debit Card,2023-01-28,435.94
78,78,Credit Card,2022-06-30,87.62
79,79,Mobile Money,2022-06-13,1549.66
80,80,Debit Card,2023-12-28,1399.71
81,81,Mobile Money,2024-04-30,340.91
82,82,PayPal,2024-07-12,627.02
83,83,PayPal,2023-06-28,874.36
84,84,Mobile Money,2022-11-19,1578.61
85,85,Bank Transfer,2024-02-22,379.86
86,86,Mobile Money,2023-04-13,2550.21
87,87,Credit Card,2024-07-21,534.51
88,88,Mobile Money,2023-03-30,25.71
89,89,Debit Card,2023-09-05,201.18
90,90,Credit Card,2023-09-18,917.07
91,91,Bank Transfer,2022-09-25,1226.77
92,92,Mobile Money,2022-11-28,2559.86
93,93,Credit Card,2024-02-14,972.96
94,94,Mobile Money,2024-07-02,1793.17
95,95,PayPal,2022-12-14,161.89
96,96,Debit Card,2023-02-18,1396.16
97,97,Debit Card,2022-10-19,827.54
98,98,Credit Card,2022-12-30,36.19
99,99,PayPal,2023-10-17,152.79
100,100,Bank Transfer,2023-03-06,973.3
101,101,PayPal,2023-04-05,1278.41
102,102,Debit Card,2024-07-10,1196.65
103,103,Bank Transfer,2022-06-13,844.69
104,104,Credit Card,2023-08-21,1280.09
105,105,Bank Transfer,2023-04-24,285.62
106,106,Debit Card,2022-07-01,1402.23
107,107,Bank Transfer,2023-01-30,1377.58
108,108,PayPal,2023-10-28,191.19
109,109,PayPal,2023-08-06,2197.12
110,110,PayPal,2024-03-18,2000.85
111,111,Credit Card,2024-02-11,714.17
112,112,PayPal,2023-03-15,471.92
113,113,Bank Transfer,2023-11-06,412.38
114,114,Bank Transfer,2024-08-23,117.26
115,115,Bank Transfer,2024-04-24,1912.69
116,116,PayPal,2023-05-26,446.27
117,117,Mobile Money,2024-07-08,357.61
118,118,Debit Card,2024-04-01,1129.72
119,119,Debit Card,2023-10-25,431.3
120,120,Mobile Money,2022-12-12,441.05
121,121,Credit Card,2024-09-02,246.5
122,122,Mobile Money,2023-12-25,530.83
123,123,PayPal,2024-09-06,320.69
124,124,Credit Card,2023-11-17,115.29
125,125,Mobile Money,2022-11-23,1995.62
126,126,Mobile Money,2024-05-29,111.61
127,127,Mobile Money,2023-03-04,831.37
128,128,Debit Card,2023-04-01,1347.44
129,129,PayPal,2023-11-13,73.03
130,130,Bank Transfer,2022-06-29,900.25
131,131,PayPal,2023-12-17,1771.11
132,132,Bank Transfer,2024-01-14,1585.6
133,133,Bank Transfer,2023-10-22,1005.0
134,134,PayPal,2022-08-08,267.91
135,135,PayPal,2023-03-16,22.72
136,136,Credit Card,2022-11-06,95.7
137,137,Mobile Money,2023-07-26,2523.91
138,138,Credit Card,2023-03-10,1895.87
139,139,Mobile Money,2023-12-07,43.9
140,140,Debit Card,2024-01-23,2465.23
141,141,Debit Card,2024-04-17,747.85
142,142,Credit Card,2022-06-22,80.5
143,143,PayPal,2023-02-14,1389.42
144,144,Bank Transfer,2023-09-08,411.81
145,145,Bank Transfer,2023-07-31,198.0
146,146,Debit Card,2024-03-10,1073.31
147,147,Credit Card,2022-10-08,1298.95
148,148,Debit Card,2022-10-07,307.01
149,149,Mobile Money,2023-11-23,1488.5
150,150,Bank Transfer,2022-06-26,318.72
151,151,Credit Card,2022-09-13,207.59
152,152,Credit Card,2024-07-15,1777.08
153,153,PayPal,2023-01-12,637.47
154,154,Credit Card,2024-04-06,236.57
155,155,Bank Transfer,2023-02-07,976.64
156,156,PayPal,2022-11-22,2116.91
157,157,Debit Card,2022-09-23,458.48
158,158,PayPal,2024-04-27,1565.16
159,159,Bank Transfer,2022-12-28,1564.63
160,160,Bank Transfer,2023-09-08,413.22
161,161,PayPal,2023-09-09,392.18
162,162,Debit Card,2022-08-25,1004.17
163,163,Bank Transfer,2024-06-08,157.53
164,164,Mobile Money,2023-12-23,661.32
165,165,Mobile Money,2024-06-18,1430.73
166,166,PayPal,2022-06-25,169.98
167,167,Credit Card,2024-06-06,69.26
168,168,Mobile Money,2024-03-11,2006.12
169,169,PayPal,2023-07-05,182.66
170,170,PayPal,2024-07-06,944.55
171,171,Bank Transfer,2022-12-07,864.18
172,172,Mobile Money,2023-04-24,395.18
173,173,Credit Card,2023-07-05,2629.37
174,174,Mobile Money,2022-07-05,323.02
175,175,Credit Card,2022-12-06,337.88
176,176,Bank Transfer,2023-08-10,677.84
177,177,Bank Transfer,2023-11-20,217.52
178,178,Bank Transfer,2022-07-25,263.5
179,179,Debit Card,2024-04-19,1220.52
180,180,Debit Card,2024-06-29,504.91
181,181,Bank Transfer,2024-06-08,841.19
182,182,Debit Card,2022-07-03,826.84
183,183,Bank Transfer,2023-02-23,965.3
184,184,Credit Card,2023-10-17,306.42
185,185,Debit Card,2024-09-07,438.98
186,186,PayPal,2023-12-09,809.37
187,187,PayPal,2023-05-08,444.83
188,188,PayPal,2023-02-23,1396.23
189,189,Credit Card,2023-01-18,51.24
190,190,Bank Transfer,2023-06-19,1667.99
191,191,Mobile Money,2023-01-10,550.18
192,192,Credit Card,2023-05-20,424.96
193,193,Mobile Money,2024-02-17,1091.84
194,194,PayPal,2024-03-02,144.49
195,195,Bank Transfer,2023-01-09,2250.06
196,196,Debit Card,2023-09-18,777.99
197,197,Mobile Money,2022-12-15,729.07
198,198,PayPal,2023-10-29,277.31
199,199,Mobile Money,2022-12-07,428.02
200,200,Mobile Money,2022-07-06,429.86
201,201,Mobile Money,2024-03-07,1440.65
202,202,Bank Transfer,2022-07-22,994.91
203,203,Debit Card,2022-11-28,51.78
204,204,Credit Card,2022-08-21,352.89
205,205,Mobile Money,2022-09-25,1008.95
206,206,Debit Card,2022-06-07,1138.95
207,207,Bank Transfer,2023-09-24,1871.09
208,208,Mobile Money,2022-07-03,126.88
209,209,PayPal,2024-07-23,400.8
210,210,PayPal,2024-07-20,444.49
211,211,PayPal,2023-01-20,230.09
212,212,Debit Card,2023-08-14,2394.83
213,213,PayPal,2023-11-18,276.51
214,214,Bank Transfer,2022-10-06,626.2
215,215,PayPal,2024-05-10,1773.04
216,216,PayPal,2023-08-06,87.96
217,217,Debit Card,2024-03-14,2167.97
218,218,Debit Card,2023-10-29,250.9
219,219,Debit Card,2022-10-29,604.54
220,220,Mobile Money,2023-08-31,58.43
221,221,Mobile Money,2022-08-03,853.87
222,222,Mobile Money,2022-10-02,1919.07
223,223,Bank Transfer,2023-01-14,128.75
224,224,Credit Card,2023-11-22,188.25
225,225,PayPal,2023-12-05,1194.56
226,226,Bank Transfer,2022-10-20,1121.83
227,227,Mobile Money,2023-07-29,738.01
228,228,PayPal,2024-01-18,277.54
229,229,PayPal,2023-02-02,862.55
230,230,Credit Card,2024-05-24,613.22
231,231,Mobile Money,2024-01-07,1117.29
232,232,Bank Transfer,2022-11-09,1657.08
233,233,Bank Transfer,2022-11-06,1001.89
234,234,PayPal,2024-08-12,237.51
235,235,Debit Card,2024-07-11,102.04
236,236,Credit Card,2023-11-20,1074.65
237,237,Debit Card,2023-01-15,155.59
238,238,Bank Transfer,2022-07-27,1357.8
239,239,Mobile Money,2024-03-02,1025.83
240,240,Debit Card,2023-05-11,2151.61
241,241,Debit Card,2023-01-01,1516.46
242,242,Bank Transfer,2024-09-16,94.59
243,243,Mobile Money,2023-03-15,1588.44
244,244,Mobile Money,2023-11-03,1490.26
245,245,PayPal,2023-04-02,507.47
246,246,Mobile Money,2024-02-10,1175.18
247,247,Mobile Money,2024-04-21,180.17
248,248,Mobile Money,2023-08-01,183.55
249,249,PayPal,2023-06-09,1382.34
250,250,Bank Transfer,2024-06-30,296.16
251,251,Mobile Money,2023-05-23,1543.48
252,252,Bank Transfer,2024-04-04,398.28
253,253,PayPal,2023-08-23,2299.32
254,254,PayPal,2023-12-22,1040.72
255,255,Debit Card,2023-12-13,875.57
256,256,Mobile Money,2022-10-06,512.61
257,257,PayPal,2023-12-13,166.41
258,258,Debit Card,2022-12-30,997.86
259,259,PayPal,2022-06-24,154.52
260,260,PayPal,2022-06-17,413.86
261,261,Debit Card,2024-02-05,1452.15
262,262,Debit Card,2023-07-27,320.49
263,263,Bank Transfer,2024-01-16,386.84
264,264,Bank Transfer,2022-08-10,1477.33
265,265,Debit Card,2022-07-04,387.43
266,266,Bank Transfer,2024-07-25,463.14
267,267,Credit Card,2024-01-19,1006.5
268,268,PayPal,2022-12-29,37.88
269,269,Credit Card,2024-07-17,1748.38
270,270,Debit Card,2024-01-22,524.63
271,271,Credit Card,2024-04-16,803.63
272,272,Debit Card,2022-07-25,830.32
273,273,Debit Card,2022-12-14,428.64
274,274,Debit Card,2022-07-26,88.21
275,275,Credit Card,2024-08-14,66.21
276,276,Mobile Money,2024-01-03,330.53
277,277,Credit Card,2023-01-18,381.55
278,278,Bank Transfer,2023-02-14,93.06
279,279,Mobile Money,2023-07-14,1854.06
280,280,Credit Card,2023-06-08,1663.59
281,281,Bank Transfer,2023-07-26,123.37
282,282,Debit Card,2024-03-10,1368.62
283,283,Bank Transfer,2022-07-24,1324.83
284,284,Mobile Money,2022-08-26,1116.66
285,285,Credit Card,2023-05-25,240.52
286,286,Credit Card,2023-02-02,53.07
287,287,Bank Transfer,2023-07-18,379.89
288,288,Credit Card,2022-07-02,408.24
289,289,Debit Card,2024-03-29,847.37
290,290,Mobile Money,2023-02-25,1261.62
291,291,Debit Card,2022-09-22,300.29
292,292,Credit Card,2023-07-29,884.1
293,293,Mobile Money,2024-06-18,76.2
294,294,PayPal,2024-07-13,2490.15
295,295,Bank Transfer,2023-06-30,18.68
296,296,Credit Card,2023-01-07,1340.93
297,297,Mobile Money,2023-08-13,281.25
298,298,Credit Card,2024-07-17,1498.57
299,299,Debit Card,2024-07-08,800.05
300,300,Debit Card,2023-06-21,372.84
301,301,PayPal,2022-08-11,2010.47
302,302,Bank Transfer,2023-05-15,1188.49
303,303,Bank Transfer,2024-07-05,256.15
304,304,Bank Transfer,2023-01-12,1280.45
305,305,Mobile Money,2022-10-18,313.28
306,306,Credit Card,2023-01-09,714.2
307,307,Bank Transfer,2023-06-19,1282.4
308,308,PayPal,2023-06-08,695.59
309,309,Credit Card,2023-01-18,2528.23
310,310,Credit Card,2023-08-04,464.91
311,311,Mobile Money,2022-12-10,1543.38
312,312,Debit Card,2024-05-26,341.3
313,313,Bank Transfer,2024-08-21,370.5
314,314,PayPal,2024-05-04,1710.48
315,315,Credit Card,2024-07-03,109.66
316,316,Bank Transfer,2023-01-23,751.32
317,317,Debit Card,2023-02-23,209.34
318,318,Credit Card,2023-08-03,655.37
319,319,Debit Card,2022-11-27,1518.55
320,320,PayPal,2022-11-04,1310.44
321,321,Mobile Money,2023-10-13,1376.03
322,322,Credit Card,2023-03-09,1773.2
323,323,Debit Card,2023-10-20,600.43
324,324,PayPal,2022-10-21,551.19
325,325,Bank Transfer,2023-03-30,861.32
326,326,PayPal,2023-06-20,654.74
327,327,Mobile Money,2022-12-10,862.34
328,328,Credit Card,2024-02-17,243.6
329,329,PayPal,2023-12-11,402.39
330,330,Bank Transfer,2024-05-13,470.2
331,331,Bank Transfer,2024-05-14,227.33
332,332,Mobile Money,2023-05-30,175.02
333,333,PayPal,2024-05-31,1677.38
334,334,Mobile Money,2022-08-21,1780.48
335,335,Bank Transfer,2023-07-26,1637.54
336,336,Bank Transfer,2023-01-29,528.87
337,337,Credit Card,2024-06-03,958.52
338,338,Bank Transfer,2024-08-14,148.86
339,339,Credit Card,2022-06-12,514.73
340,340,PayPal,2024-06-10,516.88
341,341,PayPal,2024-05-17,1392.68
342,342,Debit Card,2024-08-23,695.85
343,343,Credit Card,2024-03-02,1108.68
344,344,PayPal,2023-08-06,1093.75
345,345,Credit Card,2022-12-27,860.33
346,346,PayPal,2024-05-23,299.53
347,347,Mobile Money,2023-02-22,106.31
348,348,Bank Transfer,2023-09-02,211.23
349,349,Credit Card,2024-04-25,600.92
350,350,Debit Card,2022-12-15,1826.95
351,351,PayPal,2023-01-19,360.77
352,352,Mobile Money,2022-08-11,2029.25
353,353,Mobile Money,2024-02-24,1183.3
354,354,Credit Card,2024-03-26,917.23
355,355,Bank Transfer,2023-12-31,512.18
356,356,Credit Card,2024-03-25,399.8
357,357,Bank Transfer,2024-08-28,176.08
358,358,Debit Card,2024-05-31,146.53
359,359,Debit Card,2024-01-20,743.78
360,360,Bank Transfer,2023-08-16,368.81
361,361,Credit Card,2024-04-01,801.59
362,362,Credit Card,2023-06-07,222.52
363,363,PayPal,2024-09-12,1406.9
364,364,Credit Card,2023-02-07,247.24
365,365,Mobile Money,2023-10-25,1432.6
366,366,Credit Card,2022-08-15,1641.83
367,367,Credit Card,2023-09-03,64.75
368,368,PayPal,2024-04-10,1160.75
369,369,PayPal,2022-06-22,1524.58
370,370,Credit Card,2024-07-24,2225.39
371,371,Debit Card,2022-07-22,193.51
372,372,Debit Card,2023-08-30,299.33
373,373,Credit Card,2024-04-10,195.81
374,374,Debit Card,2023-06-17,32.59
375,375,Mobile Money,2022-10-09,487.63
376,376,Bank Transfer,2022-11-15,236.84
377,377,Bank Transfer,2022-12-27,2013.33
378,378,Bank Transfer,2023-11-13,176.7
379,379,Debit Card,2024-08-17,984.47
380,380,PayPal,2022-06-23,204.23
381,381,Credit Card,2022-08-24,20.98
382,382,Mobile Money,2024-07-22,996.31
383,383,Credit Card,2023-12-07,1064.3
